name,genre,paintings
Amedeo Modigliani,Expressionism,193
Vasiliy Kandinskiy,Expressionism,88
Claude Monet,Impressionism,73
Rene Magritte,Surrealism,194
Salvador Dali,Surrealism,139
Vincent van Gogh,Post-Impressionism,877
Gustav Klimt,Symbolism,117
Hieronymus Bosch,Northern Renaissance,137
Mikhail Vrubel,Symbolism,171
Pablo Picasso,Cubism,439
Peter Paul Rubens,Baroque,141
Pierre-Auguste Renoir,Impressionism,336
Frida Kahlo,Primitivism,120
Albrecht Dürer,Northern Renaissance,328
Alfred Sisley,Impressionism,259
Pieter Bruegel,Northern Renaissance,134
Marc Chagall,Primitivism,239
Caravaggio,Baroque,55
Leonardo da Vinci,High Renaissance,143
Diego Velazquez,Baroque,128
Henri Matisse,Impressionism,186
Jan van Eyck,Northern Renaissance,81
Edgar Degas,Impressionism,702
Rembrandt,Baroque,262
Titian,High Renaissance,255
Henri de Toulouse-Lautrec,Post-Impressionism,81
Camille Pissarro,Impressionism,91
Edvard Munch,Symbolism,67
Paul Cezanne,Post-Impressionism,47
Henri Rousseau,Primitivism,70
Georges Seurat,Post-Impressionism,43
Paul Klee,Expressionism,188
Joan Miro,Surrealism,102
Paul Gauguin,Symbolism,311
Raphael,High Renaissance,109
Michelangelo,High Renaissance,49
